Item,Category,Cost,Notes,Packed,Priority,Quantity,Status,Where to Buy
Light fleece/grid midlayer,Insulation,,Packs down well,No,Essential,1,Need to Buy,TBD
Buff / neck gaiter,Insulation,,,No,Recommended,1,Not Bringing,TBD
Hiking shorts,Hiking Bottoms,,,No,Recommended,1,Need to Buy,TBD
Short-sleeve hiking shirts,Base & Hiking Tops,,"Technical, quick-drying fabric",No,Essential,2,Need to Buy,TBD
Rain pants,Shell & Rain,,,No,Essential,1,Need to Buy,TBD
Merino hiking socks,Footwear,,"Good quality wool blend, keep feet dry",No,Essential,3,Need to Buy,TBD
Hardshell rain jacket,Shell & Rain,,"Breathable, windproof, lightweight",No,Essential,1,Bought,TBD
Convertible trekking trousers,Hiking Bottoms,,,No,Essential,1,Need to Buy,TBD
Sun hat/cap,Headwear & Sun,,,No,Essential,1,Bought,TBD
Merino base-layer top,Base & Hiking Tops,,Can double as pyjamas,No,Recommended,1,Need to Buy,TBD
Lightweight gaiters,Footwear,,If bad weather expected,No,Optional,1,Not Bringing,TBD
Trail lunch/snacks,Hydration & Food,,"Nuts, chocolate, trail bars, biltong",No,Recommended,,Bought,TBD
Hiking boots,Footwear,,"Well worn in, good ankle support, waterproof",No,Essential,1,Bought,TBD
Cicerone guidebook,Navigation & Safety,,,No,Recommended,1,Bought,TBD
Trekking poles,Poles & Descent Support,,Collapsible recommended,No,Essential,1,Bought,TBD
Sunglasses Cat 3–4,Headwear & Sun,,,No,Essential,1,Need to Buy,TBD
Osprey Kestrel 38 backpack,Backpack & Load,,50-60L if camping; chest & hip straps essential,No,Essential,1,Bought,TBD
2 pcs waterproof backpack rain covers (40L–50L),Shell & Rain,12.49,Waterproof backpack covers with reflective strip and elastic strap; purchased as a 2-pack.,No,Recommended,2,Bought,http://Amazon.es — CeWenQi
Hiking crampons/microspikes,,,Essential if hiking early season (June/early July),No,,1,Not Bringing,
2 L water reservoir,Hydration & Food,,1.5-2.0L capacity,No,Essential,1,Bought,TBD
Refuge/camp shoes,Footwear,,Or use refuge-provided crocs,No,Recommended,1,Bought,TBD
Insulated puffy jacket,Insulation,,Packs down well,No,Essential,1,Bought,TBD
Blukar 2000L rechargeable LED headlamp,Navigation & Safety,13.99,"Rechargeable head torch with motion sensor, adjustable angle, 8 modes, and red light.",No,Essential,1,Bought,http://Amazon.es — Flying-Store
Eye mask,Sleep & Refuge,,,No,Optional,1,Not Bringing,TBD
Phone + charging cable,Electronics Docs & Money,,USB multi-charger recommended,No,Essential,1,Bought,TBD
Earplugs + spare,Sleep & Refuge,,Essential for dorm sleeping,No,Recommended,2,Not Bringing,TBD
Change of clothes for refuge,,,Dedicated to refuge use only,No,,,Bought,
NORDMUT ultralight sleeping bag liner with pillow case,Sleep & Refuge,24.9,"Breathable, compact travel sack/hostel sleeping bag liner with pillow case; navy blue polyester.",No,Essential,1,Bought,http://Amazon.es — NORDMUT
Warm beanie,Headwear & Sun,,,No,Recommended,1,Bought,TBD
Bed socks,,,Optional luxury,No,,1,Bought,
Insurance docs (printed),Electronics Docs & Money,,Must cover high altitude trekking (2500m+),No,Essential,,Bought,TBD
Emergency space blanket,Navigation & Safety,,,No,Recommended,1,Need to Buy,TBD
